id, name1, name2, name3, name4, name5, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
551,1,3,5,11,19,33/32,19/16,5/4,11/8,95/64,3/2,209/128,55/32,57/32,15/8,false,false,false,false,10,1,1,1,0,0,1,0,0,0,1,0,0,0,0
555,1,3,7,11,19,33/32,133/128,19/16,77/64,21/16,11/8,3/2,209/128,7/4,57/32,false,false,false,false,10,1,1,0,1,0,1,0,0,0,1,0,0,0,0
557,1,5,7,11,19,133/128,35/32,19/16,77/64,5/4,11/8,95/64,209/128,55/32,7/4,false,false,false,false,10,1,0,1,1,0,1,0,0,0,1,0,0,0,0
558,3,5,7,11,19,33/32,133/128,35/32,77/64,21/16,95/64,209/128,55/32,57/32,15/8,false,false,false,false,10,0,1,1,1,0,1,0,0,0,1,0,0,0,0
563,1,3,9,11,19,33/32,9/8,19/16,171/128,11/8,3/2,99/64,209/128,27/16,57/32,false,false,false,false,10,1,1,0,0,1,1,0,0,0,1,0,0,0,0
565,1,5,9,11,19,9/8,19/16,5/4,171/128,11/8,45/32,95/64,99/64,209/128,55/32,false,false,false,false,10,1,0,1,0,1,1,0,0,0,1,0,0,0,0
566,3,5,9,11,19,33/32,171/128,45/32,95/64,99/64,209/128,27/16,55/32,57/32,15/8,false,false,false,false,10,0,1,1,0,1,1,0,0,0,1,0,0,0,0
569,1,7,9,11,19,133/128,9/8,19/16,77/64,171/128,11/8,99/64,209/128,7/4,63/32,false,false,false,false,10,1,0,0,1,1,1,0,0,0,1,0,0,0,0
570,3,7,9,11,19,33/32,133/128,77/64,21/16,171/128,99/64,209/128,27/16,57/32,63/32,false,false,false,false,10,0,1,0,1,1,1,0,0,0,1,0,0,0,0
572,5,7,9,11,19,133/128,35/32,77/64,171/128,45/32,95/64,99/64,209/128,55/32,63/32,false,false,false,false,10,0,0,1,1,1,1,0,0,0,1,0,0,0,0
583,1,3,5,13,19,65/64,19/16,39/32,5/4,95/64,3/2,13/8,57/32,15/8,247/128,false,false,false,false,10,1,1,1,0,0,0,1,0,0,1,0,0,0,0
587,1,3,7,13,19,133/128,19/16,39/32,21/16,91/64,3/2,13/8,7/4,57/32,247/128,false,false,false,false,10,1,1,0,1,0,0,1,0,0,1,0,0,0,0
589,1,5,7,13,19,65/64,133/128,35/32,19/16,5/4,91/64,95/64,13/8,7/4,247/128,false,false,false,false,10,1,0,1,1,0,0,1,0,0,1,0,0,0,0
590,3,5,7,13,19,65/64,133/128,35/32,39/32,21/16,91/64,95/64,57/32,15/8,247/128,false,false,false,false,10,0,1,1,1,0,0,1,0,0,1,0,0,0,0
595,1,3,9,13,19,9/8,19/16,39/32,171/128,3/2,13/8,27/16,57/32,117/64,247/128,false,false,false,false,10,1,1,0,0,1,0,1,0,0,1,0,0,0,0
597,1,5,9,13,19,65/64,9/8,19/16,5/4,171/128,45/32,95/64,13/8,117/64,247/128,false,false,false,false,10,1,0,1,0,1,0,1,0,0,1,0,0,0,0
598,3,5,9,13,19,65/64,39/32,171/128,45/32,95/64,27/16,57/32,117/64,15/8,247/128,false,false,false,false,10,0,1,1,0,1,0,1,0,0,1,0,0,0,0
