id, name1, name2, name3, name4, name5, name6, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, note11, note12, note13, note14, note15, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
571,1,3,7,9,11,19,33/32,133/128,9/8,19/16,77/64,21/16,171/128,11/8,3/2,99/64,209/128,27/16,7/4,57/32,63/32,false,false,false,false,15,1,1,0,1,1,1,0,0,0,1,0,0,0,0
573,1,5,7,9,11,19,133/128,35/32,9/8,19/16,77/64,5/4,171/128,11/8,45/32,95/64,99/64,209/128,55/32,7/4,63/32,false,false,false,false,15,1,0,1,1,1,1,0,0,0,1,0,0,0,0
574,3,5,7,9,11,19,33/32,133/128,35/32,77/64,21/16,171/128,45/32,95/64,99/64,209/128,27/16,55/32,57/32,15/8,63/32,false,false,false,false,15,0,1,1,1,1,1,0,0,0,1,0,0,0,0
591,1,3,5,7,13,19,65/64,133/128,35/32,19/16,39/32,5/4,21/16,91/64,95/64,3/2,13/8,7/4,57/32,15/8,247/128,false,false,false,false,15,1,1,1,1,0,0,1,0,0,1,0,0,0,0
599,1,3,5,9,13,19,65/64,9/8,19/16,39/32,5/4,171/128,45/32,95/64,3/2,13/8,27/16,57/32,117/64,15/8,247/128,false,false,false,false,15,1,1,1,0,1,0,1,0,0,1,0,0,0,0
603,1,3,7,9,13,19,133/128,9/8,19/16,39/32,21/16,171/128,91/64,3/2,13/8,27/16,7/4,57/32,117/64,247/128,63/32,false,false,false,false,15,1,1,0,1,1,0,1,0,0,1,0,0,0,0
605,1,5,7,9,13,19,65/64,133/128,35/32,9/8,19/16,5/4,171/128,45/32,91/64,95/64,13/8,7/4,117/64,247/128,63/32,false,false,false,false,15,1,0,1,1,1,0,1,0,0,1,0,0,0,0
606,3,5,7,9,13,19,65/64,133/128,35/32,39/32,21/16,171/128,45/32,91/64,95/64,27/16,57/32,117/64,15/8,247/128,63/32,false,false,false,false,15,0,1,1,1,1,0,1,0,0,1,0,0,0,0
615,1,3,5,11,13,19,65/64,33/32,143/128,19/16,39/32,5/4,11/8,95/64,3/2,13/8,209/128,55/32,57/32,15/8,247/128,false,false,false,false,15,1,1,1,0,0,1,1,0,0,1,0,0,0,0
619,1,3,7,11,13,19,33/32,133/128,143/128,19/16,77/64,39/32,21/16,11/8,91/64,3/2,13/8,209/128,7/4,57/32,247/128,false,false,false,false,15,1,1,0,1,0,1,1,0,0,1,0,0,0,0
621,1,5,7,11,13,19,65/64,133/128,35/32,143/128,19/16,77/64,5/4,11/8,91/64,95/64,13/8,209/128,55/32,7/4,247/128,false,false,false,false,15,1,0,1,1,0,1,1,0,0,1,0,0,0,0
622,3,5,7,11,13,19,65/64,33/32,133/128,35/32,143/128,77/64,39/32,21/16,91/64,95/64,209/128,55/32,57/32,15/8,247/128,false,false,false,false,15,0,1,1,1,0,1,1,0,0,1,0,0,0,0
627,1,3,9,11,13,19,33/32,143/128,9/8,19/16,39/32,171/128,11/8,3/2,99/64,13/8,209/128,27/16,57/32,117/64,247/128,false,false,false,false,15,1,1,0,0,1,1,1,0,0,1,0,0,0,0
629,1,5,9,11,13,19,65/64,143/128,9/8,19/16,5/4,171/128,11/8,45/32,95/64,99/64,13/8,209/128,55/32,117/64,247/128,false,false,false,false,15,1,0,1,0,1,1,1,0,0,1,0,0,0,0
630,3,5,9,11,13,19,65/64,33/32,143/128,39/32,171/128,45/32,95/64,99/64,209/128,27/16,55/32,57/32,117/64,15/8,247/128,false,false,false,false,15,0,1,1,0,1,1,1,0,0,1,0,0,0,0
633,1,7,9,11,13,19,133/128,143/128,9/8,19/16,77/64,171/128,11/8,91/64,99/64,13/8,209/128,7/4,117/64,247/128,63/32,false,false,false,false,15,1,0,0,1,1,1,1,0,0,1,0,0,0,0
634,3,7,9,11,13,19,33/32,133/128,143/128,77/64,39/32,21/16,171/128,91/64,99/64,209/128,27/16,57/32,117/64,247/128,63/32,false,false,false,false,15,0,1,0,1,1,1,1,0,0,1,0,0,0,0
636,5,7,9,11,13,19,65/64,133/128,35/32,143/128,77/64,171/128,45/32,91/64,95/64,99/64,209/128,55/32,117/64,247/128,63/32,false,false,false,false,15,0,0,1,1,1,1,1,0,0,1,0,0,0,0
655,1,3,5,7,15,19,133/128,35/32,285/256,75/64,19/16,5/4,21/16,45/32,95/64,3/2,105/64,7/4,57/32,15/8,null/null,false,false,false,false,14,1,1,1,1,0,0,0,1,0,1,0,0,0,0
663,1,3,5,9,15,19,135/128,285/256,9/8,75/64,19/16,5/4,171/128,45/32,95/64,3/2,27/16,57/32,15/8,null/null,null/null,false,false,false,false,13,1,1,1,0,1,0,0,1,0,1,0,0,0,0
667,1,3,7,9,15,19,133/128,135/128,285/256,9/8,19/16,21/16,171/128,45/32,3/2,105/64,27/16,7/4,57/32,15/8,63/32,false,false,false,false,15,1,1,0,1,1,0,0,1,0,1,0,0,0,0
669,1,5,7,9,15,19,133/128,135/128,35/32,285/256,9/8,75/64,19/16,5/4,171/128,45/32,95/64,105/64,7/4,15/8,63/32,false,false,false,false,15,1,0,1,1,1,0,0,1,0,1,0,0,0,0
670,3,5,7,9,15,19,133/128,135/128,35/32,285/256,75/64,21/16,171/128,45/32,95/64,105/64,27/16,57/32,15/8,63/32,null/null,false,false,false,false,14,0,1,1,1,1,0,0,1,0,1,0,0,0,0
679,1,3,5,11,15,19,33/32,285/256,75/64,19/16,5/4,165/128,11/8,45/32,95/64,3/2,209/128,55/32,57/32,15/8,null/null,false,false,false,false,14,1,1,1,0,0,1,0,1,0,1,0,0,0,0
683,1,3,7,11,15,19,33/32,133/128,285/256,19/16,77/64,165/128,21/16,11/8,45/32,3/2,209/128,105/64,7/4,57/32,15/8,false,false,false,false,15,1,1,0,1,0,1,0,1,0,1,0,0,0,0
